chrom,systematic name,common name,Simple Type,Half-Life           (in minutes),Description
chr14,YNL112W,DBP2,CDS,3,"Essential ATP-dependent RNA helicase of the DEAD-box protein family, involved in nonsense-mediated mRNA decay and rRNA processing"
chr11,YKL078W,DHR2,CDS,3,"Predominantly nucleolar DEAH-box ATP-dependent RNA helicase, required for 18S rRNA synthesis"
chr3,YCL036W,GFD2,CDS,4,"Protein of unknown function, identified as a high-copy suppressor of a dbp5 mutation"
chr15,YOR095C,RKI1,CDS,4,"Ribose-5-phosphate ketol-isomerase, catalyzes the interconversion of ribose 5-phosphate and ribulose 5-phosphate in the pentose phosphate pathway  participates in pyridoxine biosynthesis"
chr2,YBR296C,PHO89,CDS,5,"Na+/Pi cotransporter, active in early growth phase  similar to phosphate transporters of Neurospora crassa  transcription regulated by inorganic phosphate concentrations and Pho4p"
chr14,YNL141W,AAH1,CDS,5,"Adenine deaminase (adenine aminohydrolase), converts adenine to hypoxanthine  involved in purine salvage  transcriptionally regulated by nutrient levels and growth phase  Aah1p degraded upon entry into quiescence via SCF and the proteasome"
chr10,YJR047C,ANB1,CDS,5,"Translation initiation factor eIF-5A, promotes formation of the first peptide bond  similar to and functionally redundant with Hyp2p  undergoes an essential hypusination modification  expressed under anaerobic conditions"
chr13,YMR128W,ECM16,CDS,5,"Essential DEAH-box ATP-dependent RNA helicase specific to the U3 snoRNP, predominantly nucleolar in distribution, required for 18S rRNA synthesis"
chr2,YBL004W,UTP20,CDS,5,"Component of the small-subunit (SSU) processome, which is involved in the biogenesis of the 18S rRNA"
chr16,YPL012W,RRP12,CDS,5,Protein required for export of the ribosomal subunits  associates with the RNA components of the pre-ribosomes  contains HEAT-repeats
chr14,YNL132W,KRE33,CDS,5,Essential protein of unknown function  heterozygous mutant shows haploinsufficiency in K1 killer toxin resistance
chr9,YIL019W,FAF1,CDS,5,Protein required for pre-rRNA processing and 40S ribosomal subunit assembly
chr15,YOR341W,RPA190,CDS,5,RNA polymerase I subunit  largest subunit of RNA polymerase I
chr12,YLL008W,DRS1,CDS,5,"Nucleolar DEAD-box protein required for ribosome assembly and function, including synthesis of 60S ribosomal subunits  constituent of 66S pre-ribosomal particles"
chr2,YBL039C,URA7,CDS,5,"Major CTP synthase isozyme (see also URA8), catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, the final step in de novo biosynthesis of pyrimidines  involved in phospholipid biosynthesis"
chr13,YMR229C,RRP5,CDS,5,RNA binding protein with preference for single stranded tracts of U's involved in synthesis of both 18S and 5.8S rRNAs  component of both the ribosomal small subunit (SSU) processosome and the 90S preribosome
chr13,YML056C,YML056C,CDS,5,"Inosine monophosphate dehydrogenase, catalyzes the first step of GMP biosynthesis, member of a four-gene family in S. cerevisiae, constitutively expressed"
chr16,YPR010C,RPA135,CDS,5,RNA polymerase I subunit A135
chr1,YAL059W,ECM1,CDS,6,"Protein of unknown function, localized in the nucleoplasm and the nucleolus, genetically interacts with MTR2 in 60S ribosomal protein subunit export"
chr4,YDL148C,NOP14,CDS,6,"Nucleolar protein, forms a complex with Noc4p that mediates maturation and nuclear export of 40S ribosomal subunits  also present in the small subunit processome complex, which is required for processing of pre-18S rRNA"
chr11,YKL143W,LTV1,CDS,6,"Component of the GSE complex, which is required for proper sorting of amino acid permease Gap1p  required for ribosomal small subunit export from nucleus  required for growth at low temperature"
chr11,YKL216W,URA1,CDS,6,"Dihydroorotate dehydrogenase, catalyzes the fourth enzymatic step in the de novo biosynthesis of pyrimidines, converting dihydroorotic acid into orotic acid"
chr7,YGR103W,NOP7,CDS,6,Nucleolar protein involved in rRNA processing and 60S ribosomal subunit biogenesis  constituent of several different pre-ribosomal particles  required for exit from G0 and the initiation of cell proliferation
chr7,YGL158W,RCK1,CDS,6,Protein kinase involved in the response to oxidative stress  identified as suppressor of S. pombe cell cycle checkpoint mutations
chr4,YDL063C,YDL063C,CDS,6,Putative protein of unknown function  green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus  YDL063C is not an essential gene
chr7,YGR245C,SDA1,CDS,6,"Highly conserved nuclear protein required for actin cytoskeleton organization and passage through Start, plays a critical role in G1 events, binds Nap1p, also involved in 60S ribosome biogenesis"
chr7,YGL171W,ROK1,CDS,6,ATP-dependent RNA helicase of the DEAD box family  required for 18S rRNA synthesis
chr2,YBL054W,YBL054W,CDS,6,Protein involved in rRNA and ribosome biogenesis  binds polymerase A and C motif  subunit of the RPD3L histone deacetylase complex  similar to Dot6p  contains chromatin specific SANT domain
chr8,YHR197W,RIX1,CDS,6,"Essential component of the Rix1 complex (Rix1p, Ipi1p, Ipi3p) that is required for processing of ITS2 sequences from 35S pre-rRNA  Rix1 complex associates with Mdn1p in pre-60S ribosomal particles"
chr4,YDR281C,PHM6,CDS,6,"Protein of unknown function, expression is regulated by phosphate levels"
chr10,YJL033W,HCA4,CDS,6,Putative nucleolar DEAD box RNA helicase  high-copy number suppression of a U14 snoRNA processing mutant suggests an involvement in 18S rRNA synthesis
chr16,YPR112C,MRD1,CDS,6,Essential conserved protein that is part of the 90S preribosome  required for production of 18S rRNA and small ribosomal subunit  contains five consensus RNA-binding domains
chr3,YCL059C,KRR1,CDS,6,Essential nucleolar protein required for the synthesis of 18S rRNA and for the assembly of 40S ribosomal subunit
chr13,YMR049C,ERB1,CDS,6,Protein required for maturation of the 25S and 5.8S ribosomal RNAs  constituent of 66S pre-ribosomal particles  homologous to mammalian Bop1
chr10,YJL050W,MTR4,CDS,6,"Dead-box family ATP dependent helicase required for mRNA export from the nucleus  co-factor of the exosome complex, required for 3' end formation of 5.8S rRNA"
chr9,YIR026C,YVH1,CDS,6,"Protein phosphatase involved in vegetative growth at low temperatures, sporulation, and glycogen accumulation  transcription induced by low temperature and nitrogen starvation  member of the dual-specificity family of protein phosphatases"
chr15,YOR287C,YOR287C,CDS,6,Putative protein of unknown function  may play a role in the ribosome and rRNA biosynthesis based on expression profiles and mutant phenotype
chr13,YML093W,UTP14,CDS,6,Subunit of U3-containing Small Subunit (SSU) processome complex involved in production of 18S rRNA and assembly of small ribosomal subunit
chr4,YDL153C,SAS10,CDS,6,Essential subunit of U3-containing Small Subunit (SSU) processome complex involved in production of 18S rRNA and assembly of small ribosomal subunit  disrupts silencing when overproduced
